customer_id,name,age,gender,city,occupation,income,signup_date
CID_001,Rahul,45,Male,Kolkata,Manager,1783745,15-07-2018
CID_002,Karan,58,Male,Kolkata,Consultant,1732758,30-01-2020
CID_003,Rahul,67,Male,Pune,Clerk,1487319,04-08-2018
CID_004,Pallavi,68,Female,Pune,Designer,406264,08-08-2024
CID_005,Sneha,19,Female,Noida,Office Intern,108779,29-07-2025
CID_006,Ari,46,Other,Aligarh,Electrician,578156,02-03-2021
CID_007,Gaurav,57,Male,Delhi,Marketing Specialist,213173,01-02-2025
CID_008,Aman,62,Male,Aligarh,Clerk,609882,09-03-2021
CID_009,Jai,37,Other,Lucknow,Driver,1095148,14-10-2022
CID_010,Aditya,10,Male,Pune,Student,,01-07-2025
CID_011,Aarav,41,Male,Pune,Teacher,752400,28-09-2020
CID_012,Dee,45,Other,Kolkata,Business Owner,722631,15-09-2022
CID_013,Aarti,22,Female,Aligarh,Clerk,955470,09-09-2018
CID_014,Arjun,57,Male,Pune,Driver,1958629,25-12-2024
CID_015,Rin,40,Other,Pune,Electrician,766404,21-10-2023
CID_016,Arjun,64,Male,Chennai,Doctor,444578,22-08-2019
CID_017,Atharv,14,Male,Chennai,Student,,03-11-2020
CID_018,Ari,22,Other,Noida,Software Developer,925842,20-05-2025
CID_019,Komal,48,Female,Aligarh,Mechanic,1281388,13-02-2023
CID_020,Rajat,24,Male,Noida,Engineer,1580424,26-06-2025
CID_021,Ankit,65,Male,Lucknow,Accountant,1708476,28-04-2019
CID_022,Nikhil,15,Male,Aligarh,Student,,03-08-2021
CID_023,Riya,26,Female,Noida,Mechanic,212319,02-07-2021
CID_024,Rohan,46,Male,Delhi,Software Developer,1211395,12-07-2025
CID_025,Nikhil,32,Male,Aligarh,Teacher,1170913,18-07-2022
CID_026,Rakesh,48,Male,Noida,Business Owner,621805,15-06-2018
CID_027,Adi,74,Other,Delhi,Engineer,1563543,25-05-2019
CID_028,Adi,70,Other,Lucknow,Driver,1530245,01-05-2021
CID_029,Rituraj,53,Male,Delhi,Manager,287066,30-11-2018
CID_030,Rituraj,65,Male,Pune,Accountant,1862746,01-05-2024
CID_031,Nikhil,47,Male,Delhi,Designer,1775265,05-06-2021
CID_032,Kiran,45,Other,Aligarh,Engineer,1201739,22-10-2025
CID_033,Ira,44,Female,Chennai,Driver,307753,27-04-2022
CID_034,Sonali,50,Female,Kolkata,Driver,1654609,06-06-2020
CID_035,Ritu,9,Female,Mumbai,Student,,19-05-2019
CID_036,Pranav,75,Male,Lucknow,Business Owner,579448,15-11-2019
CID_037,Preeti,71,Female,Pune,Accountant,1189662,22-11-2020
CID_038,Simran,64,Female,Kolkata,Doctor,1350048,28-02-2021
CID_039,Saanvi,67,Female,Delhi,Sales Executive,384409,18-03-2019
CID_040,Shreya,24,Female,Delhi,Consultant,1673700,21-10-2019
CID_041,Atharv,66,Male,Mumbai,Business Owner,465737,07-09-2025
CID_042,Ishaan,27,Male,Mumbai,Clerk,1323441,14-08-2018
CID_043,Siddharth,61,Male,Pune,Clerk,1799238,22-05-2024
CID_044,Ishaan,29,Male,Pune,Manager,1071606,18-04-2025
CID_045,Preeti,33,Female,Pune,Accountant,603997,12-04-2018
CID_046,Rohan,21,Male,Delhi,Office Intern,165298,28-07-2020
CID_047,Rakesh,19,Male,Kolkata,Shop Assistant,85752,25-04-2023
CID_048,Vikas,41,Male,Mumbai,Teacher,639987,22-12-2024
CID_049,Aadhya,6,Female,Lucknow,Student,,28-09-2018
CID_050,Rahul,20,Male,Pune,Part-time Tutor,186870,17-09-2021
CID_051,Aadhya,58,Female,Lucknow,Consultant,1066407,10-06-2021
CID_052,Aadhya,29,Female,Mumbai,Software Developer,1300111,14-03-2018
CID_053,Neha,18,Female,Noida,Student,141245,27-07-2022
CID_054,Atharv,9,Male,Mumbai,Student,,21-06-2020
CID_055,Aditya,20,Male,Aligarh,Office Intern,189659,12-09-2025
CID_056,Aditya,45,Male,Aligarh,Mechanic,1798885,06-07-2021
CID_057,Krishna,22,Male,Aligarh,Electrician,993793,21-03-2022
CID_058,Kiran,19,Other,Chennai,Delivery Assistant,64396,01-12-2023
CID_059,Varun,40,Male,Lucknow,Teacher,232395,19-12-2023
CID_060,Ankit,48,Male,Chennai,Software Developer,1856731,21-07-2023
CID_061,Priya,42,Female,Chennai,Clerk,913853,01-03-2023
CID_062,Varun,6,Male,Kolkata,Student,,22-12-2021
CID_063,Dee,46,Other,Mumbai,Sales Executive,277216,15-04-2020
CID_064,Siddharth,38,Male,Kolkata,Mechanic,669173,13-02-2023
CID_065,Kabir,12,Male,Lucknow,Student,,14-03-2025
CID_066,Shaurya,29,Male,Noida,Sales Executive,1525646,14-08-2019
CID_067,Rohan,12,Male,Pune,Student,,01-02-2023
CID_068,Ankit,21,Male,Chennai,Office Intern,109729,11-11-2023
CID_069,Ishaan,55,Male,Mumbai,Software Developer,1476640,29-10-2022
CID_070,Amit,12,Male,Chennai,Student,,15-08-2024
CID_071,Krishna,53,Male,Delhi,Business Owner,1571969,03-08-2022
CID_072,Shreya,14,Female,Mumbai,Student,,06-04-2022
CID_073,Shaurya,69,Male,Mumbai,Doctor,1352961,23-07-2024
CID_074,Ankit,70,Male,Delhi,Accountant,936548,14-02-2018
CID_075,Tarun,36,Male,Mumbai,Sales Executive,1825572,11-04-2022
CID_076,Rahul,68,Male,Aligarh,Doctor,1765803,02-12-2023
CID_077,Vikas,5,Male,Pune,Student,,25-05-2023
CID_078,Aman,9,Male,Chennai,Student,,21-05-2019
CID_079,Ananya,73,Female,Chennai,Business Owner,1121018,02-10-2025
CID_080,Kabir,26,Male,Pune,Engineer,1776671,15-09-2021
CID_081,Ishaan,54,Male,Aligarh,Manager,589033,16-02-2020
CID_082,Sam,57,Other,Aligarh,Software Developer,581607,29-09-2025
CID_083,Aadhya,22,Female,Pune,Designer,541392,14-09-2025
CID_084,Ankit,39,Male,Aligarh,Designer,1064671,14-12-2018
CID_085,Amit,26,Male,Lucknow,Engineer,878522,09-08-2019
CID_086,Rin,8,Other,Noida,Student,,11-02-2019
CID_087,Khushi,47,Female,Chennai,Business Owner,1835614,23-09-2021
CID_088,Rajat,61,Male,Lucknow,Accountant,1116532,29-12-2025
CID_089,Vivaan,51,Male,Kolkata,Sales Executive,932994,23-03-2019
CID_090,Atharv,39,Male,Pune,Sales Executive,1708318,01-07-2025
CID_091,Rakesh,13,Male,Aligarh,Student,,01-11-2019
CID_092,Deepak,10,Male,Lucknow,Student,,15-06-2025
CID_093,Arjun,8,Male,Aligarh,Student,,10-03-2021
CID_094,Dee,52,Other,Chennai,Software Developer,595716,08-06-2024
CID_095,Diya,23,Female,Delhi,Business Owner,1464666,09-11-2021
CID_096,Sneha,21,Female,Chennai,Intern,156067,15-08-2024
